"Title, Author (Publisher)",Year,Category,Winner
"The Three-Body Problem, Cixin Liu (Tor)",2014,Science Fiction,
"Annihilation/Authority/Acceptance, Jeff VanderMeer (FSG Originals; Fourth Estate; HarperCollins Canada)",2014,Science Fiction,
"The Peripheral, William Gibson (Putnam; Viking UK)",2014,Science Fiction,
"Lock In, John Scalzi (Tor; Gollancz)",2014,Science Fiction,
"My Real Children, Jo Walton (Tor; Corsair)",2014,Science Fiction,
"Lagoon, Nnedi Okorafor (Hodder)",2014,Science Fiction,
"Cibola Burn, James S. A. Corey (Orbit)",2014,Science Fiction,
"The Bone Clocks, David Mitchell (Random House; Sceptre)",2014,Science Fiction,
"Afterparty, Daryl Gregory (Tor; Titan)",2014,Science Fiction,
"The Causal Angel, Hannu Rajaniemi (Tor; Gollancz)",2014,Science Fiction,
"Echopraxia, Peter Watts (Tor)",2014,Science Fiction,
"War Dogs, Greg Bear (Orbit; Gollancz)",2014,Science Fiction,
"Shipstar, Gregory Benford & Larry Niven (Tor)",2014,Science Fiction,
"Work Done for Hire, Joe Haldeman (Ace)",2014,Science Fiction,
"Ultima, Stephen Baxter (Gollancz)",2014,Science Fiction,
"Dark Lightning, John Varley (Ace)",2014,Science Fiction,
"Tigerman, Nick Harkaway (Knopf)",2014,Science Fiction,
"The Memory of Sky, Robert Reed (Prime)",2014,Science Fiction,
"Wolves, Simon Ings (Gollancz)",2014,Science Fiction,
"(tie): Artemis Awakening, Jane Lindskold (Tor)",2014,Science Fiction,
"(tie): The Book of Strange New Things, Michel Faber (Hogarth; Canongate)",2014,Science Fiction,
"World of Trouble, Ben H. Winters (Quirk)",2014,Science Fiction,
"Bête, Adam Roberts (Gollancz)",2014,Science Fiction,
"The Blood of Angels, Johanna Sinisalo (Peter Owen)",2014,Science Fiction,
"Europe in Autumn, Dave Hutchinson (Solaris)",2014,Science Fiction,
"Station Eleven, Emily St. John Mandel (Knopf)",2014,Science Fiction,
"All Those Vanished Engines, Paul Park (Tor)",2014,Science Fiction,
"The Goblin Emperor, Katherine Addison (Tor)",2014,Fantasy,TRUE
"City of Stairs, Robert Jackson Bennett (Broadway; Jo Fletcher)",2014,Fantasy,
"The Mirror Empire, Kameron Hurley (Angry Robot)",2014,Fantasy,
"Steles of the Sky, Elizabeth Bear (Tor)",2014,Fantasy,
"The Magician's Land, Lev Grossman (Viking; Arrow 2015)",2014,Fantasy,
"Full Fathom Five, Max Gladstone (Tor)",2014,Fantasy,
"The Girls at the Kingfisher Club, Genevieve Valentine (Atria)",2014,Fantasy,
"Revival, Stephen King (Scribner; Hodder & Stoughton)",2014,Fantasy,
"Beautiful Blood, Lucius Shepard (Subterranean)",2014,Fantasy,
"California Bones, Greg van Eekhout (Tor)",2014,Fantasy,
"The Widow's House, Daniel Abraham (Orbit)",2014,Fantasy,
"A Man Lies Dreaming, Lavie Tidhar (Hodder & Stoughton)",2014,Fantasy,
"Hawk, Steven Brust (Tor)",2014,Fantasy,
"The Dark Defiles, Richard K. Morgan (Del Rey; Gollancz)",2014,Fantasy,
"Bathing the Lion, Jonathan Carroll (St. Martin's)",2014,Fantasy,
"The Bees, Laline Paull (Ecco)",2014,Fantasy,
"Heirs of Grace, Tim Pratt (47North)",2014,Fantasy,
"The Winter Boy, Sally Wiener Grotta (Pixel Hall)",2014,Fantasy,
"The Boy Who Drew Monsters, Keith Donohue (Picador)",2014,Fantasy,
"Resurrections, Roz Kaveney (Plus One)",2014,Fantasy,
"Words of Radiance, Brandon Sanderson (Tor)",2014,Fantasy,
"The Memory Garden, Mary Rickert (Sourcebooks Landmark)",2014,First Novel,TRUE
"A Darkling Sea, James L. Cambias (Tor)",2014,First Novel,
"The Emperor's Blades, Brian Staveley (Tor; Tor UK)",2014,First Novel,
"Elysium, Jennifer Marie Brissett (Aqueduct)",2014,First Novel,
"The Clockwork Dagger, Beth Cato (Harper Voyager)",2014,First Novel,
"The Girl In the Road, Monica Byrne (Crown; Blackfriars)",2014,First Novel,
"The Race, Nina Allan (NewCon)",2014,First Novel,
"The Stone Boatmen, Sarah Tolmie (Aqueduct)",2014,First Novel,
"Unwrapped Sky, Rjurik Davidson (Tor; Tor UK)",2014,First Novel,
"Otherbound, Corinne Duyvis (Amulet)",2014,First Novel,
"The Angel of Losses, Stephanie Feldman (Ecco)",2014,First Novel,
"Abaddon's Gate, James S. A. Corey (Orbit)",2013,Science Fiction,TRUE
"Shaman, Kim Stanley Robinson (Orbit)",2013,Science Fiction,
"Neptune's Brood, Charles Stross (Ace; Orbit UK)",2013,Science Fiction,
"MaddAddam, Margaret Atwood (McClelland & Stewart; Bloomsbury; Talese)",2013,Science Fiction,
"The Best of All Possible Worlds, Karen Lord (Del Rey; Jo Fletcher UK)",2013,Science Fiction,
"Protector, C. J. Cherryh (DAW)",2013,Science Fiction,
"On the Steel Breeze, Alastair Reynolds (Gollancz)",2013,Science Fiction,
"The Adjacent, Christopher Priest (Gollancz)",2013,Science Fiction,
"Burning Paradise, Robert Charles Wilson (Tor)",2013,Science Fiction,
"The Red: First Light, Linda Nagata (Mythic Island)",2013,Science Fiction,
"Proxima, Stephen Baxter (Gollancz)",2013,Science Fiction,
"Lexicon, Max Barry (Pengin; Mulholland UK)",2013,Science Fiction,
"Finches of Mars, Brian Aldiss (The Friday Project)",2013,Science Fiction,
"The Arrows of Time, Greg Egan (Gollancz)",2013,Science Fiction,
"ID: The Second Machine Dynasty, Madeline Ashby (Angry Robot)",2013,Science Fiction,
"Evening's Empires, Paul McAuley (Gollancz)",2013,Science Fiction,
"Ancillary Justice, Ann Leckie (Orbit)",2013,Science Fiction,
"The Cusanus Game, Wolfgang Jeschke (Tor)",2013,Science Fiction,
"Countdown City, Ben H. Winters (Quirk)",2013,Science Fiction,
"The Last President, John Barnes (Ace)",2013,Science Fiction,
"Jupiter War, Neal Asher (Tor UK; Night Shade)",2013,Science Fiction,
"Trade Secret, Sharon Lee & Steve Miller (Baen)",2013,Science Fiction,
"Necessity's Child, Sharon Lee & Steve Miller (Baen)",2013,Science Fiction,
"The Ocean at the End of the Lane, Neil Gaiman (Morrow; Headline Review)",2013,Fantasy,TRUE
"NOS4A2, Joe Hill (Morrow; Gollancz as NOS4R2)",2013,Fantasy,
"The Republic of Thieves, Scott Lynch (Del Rey; Gollancz)",2013,Fantasy,
"River of Stars, Guy Gavriel Kay (Roc; Viking Canada; HarperCollins UK)",2013,Fantasy,
"Doctor Sleep, Stephen King (Scribner; Hodder & Stoughton)",2013,Fantasy,
"The Shining Girls, Lauren Beukes (Random House Struik South Africa; Harper Collins UK; Mulholland Books)",2013,Fantasy,
"Raising Steam, Terry Pratchett (Doubleday)",2013,Fantasy,
"Sister Mine, Nalo Hopkinson (Grand Central)",2013,Fantasy,
"The Land Across, Gene Wolfe (Tor)",2013,Fantasy,
"London Falling, Paul Cornell (Tor)",2013,Fantasy,
"Joyland, Stephen King (Hard Case Crime)",2013,Fantasy,
"Life After Life, Kate Atkinson (Doubleday UK; Reagan Arthur)",2013,Fantasy,
"Blood Oranges, Kathleen Tierney (Roc)",2013,Fantasy,
"The Tyrant's Law, Daniel Abraham (Orbit)",2013,Fantasy,
"Cold Steel, Kate Elliott (Orbit)",2013,Fantasy,
"Necessary Evil, Ian Tregillis (Tor; Orbit UK)",2013,Fantasy,
"The Aylesford Skull, James P. Blaylock (Titan)",2013,Fantasy,
"The Violent Century, Lavie Tidhar (Hodder; PS Publishing)",2013,Fantasy,
"Anno Dracula 1976-1991: Johnny Alucard, Kim Newman (Titan)",2013,Fantasy,
"American Elsewhere, Robert Jackson Bennett (Orbit)",2013,Fantasy,
"The Year of the Ladybird, Graham Joyce (Gollancz; Doubleday '14 as The Ghost in the Electric Blue Suit)",2013,Fantasy,
"The Scrivener's Tale, Fiona McIntosh (Harper Voyager Australia; Harper Voyager US)",2013,Fantasy,
"Between Two Thorns, Emma Newman (Angry Robot)",2013,Fantasy,
"The Village Sang to the Sea: A Memoir of Magic, Bruce McAllister (Aeon)",2013,Fantasy,
"Dead Set, Richard Kadrey (Harper Voyager)",2013,Fantasy,
"Ancillary Justice, Ann Leckie (Orbit)",2013,First Novel,TRUE
"The Golem and the Jinni, Helene Wecker (Harper)",2013,First Novel,
"A Stranger in Olondria, Sofia Samatar (Small Beer)",2013,First Novel,
"The Thinking Woman's Guide to Real Magic, Emily Croy Barker (Dorman)",2013,First Novel,
"The Golden City, J. Kathleen Cheney (Roc)",2013,First Novel,
"The Scroll of Years, Chris Willrich (Pyr)",2013,First Novel,
"Wolfhound Century, Peter Higgins (Orbit US; Gollancz)",2013,First Novel,
"The Age of Ice, J. M. Sidorova (Scribner)",2013,First Novel,
"A Questionable Shape, Bennett Sims (Two Dollar Radio)",2013,First Novel,
"Redshirts, John Scalzi (Tor; Gollancz)",2012,Science Fiction,TRUE
"2312, Kim Stanley Robinson (Orbit US; Orbit UK)",2012,Science Fiction,
"The Hydrogen Sonata, Iain M. Banks (Orbit US; Orbit UK)",2012,Science Fiction,
"Captain Vorpatril's Alliance, Lois McMaster Bujold (Baen)",2012,Science Fiction,
"Caliban's War, James S. A. Corey (Orbit US; Orbit UK)",2012,Science Fiction,
"Blue Remembered Earth, Alastair Reynolds (Gollancz; Ace)",2012,Science Fiction,
"The Fractal Prince, Hannu Rajaniemi (Gollancz; Tor)",2012,Science Fiction,
"The Rapture of the Nerds, Cory Doctorow & Charles Stross (Tor)",2012,Science Fiction,
"Slow Apocalypse, John Varley (Ace)",2012,Science Fiction,
"Intruder, C. J. Cherryh (DAW)",2012,Science Fiction,
"Empty Space, M. John Harrison (Gollancz; Night Shade '13)",2012,Science Fiction,
"Arctic Rising, Tobias S. Buckell (Tor)",2012,Science Fiction,
"Bowl of Heaven, Gregory Benford & Larry Niven (Tor)",2012,Science Fiction,
"Intrusion, Ken MacLeod (Orbit UK)",2012,Science Fiction,
"Angelmaker, Nick Harkaway (Heinemann; Knopf)",2012,Science Fiction,
"Any Day Now, Terry Bisson (Overlook; Duckworth '13)",2012,Science Fiction,
"Jack Glass, Adam Roberts (Gollancz)",2012,Science Fiction,
"Rapture, Kameron Hurley (Night Shade)",2012,Science Fiction,
"The Last Policeman, Ben H. Winters (Quirk)",2012,Science Fiction,
"The Eternal Flame, Greg Egan (Night Shade; Gollancz)",2012,Science Fiction,
"The Fourth Wall, Walter Jon Williams (Orbit US; Orbit UK)",2012,Science Fiction,
"Fate of Worlds, Larry Niven & Edward M. Lerner (Tor)",2012,Science Fiction,
"Ashes of Candesce, Karl Schroeder (Tor)",2012,Science Fiction,
"Existence, David Brin (Tor)",2012,Science Fiction,
"Lost Everything, Brian Francis Slattery (Tor)",2012,Science Fiction,
"In the Mouth of the Whale, Paul McAuley (Gollancz)",2012,Science Fiction,
"Turing & Burroughs, Rudy Rucker (Transreal)",2012,Science Fiction,
"The Apocalypse Codex, Charles Stross (Ace; Orbit UK)",2012,Fantasy,TRUE
"The Drowning Girl, Caitlín R. Kiernan (Roc)",2012,Fantasy,
"Hide Me Among the Graves, Tim Powers (Morrow; Corvus)",2012,Fantasy,
"The Killing Moon, N. K. Jemisin (Orbit US; Orbit UK)",2012,Fantasy,
"Glamour in Glass, Mary Robinette Kowal (Tor)",2012,Fantasy,
"Red Country, Joe Abercrombie (Gollancz; Orbit US)",2012,Fantasy,
"Some Kind of Fairy Tale, Graham Joyce (Gollancz; Doubleday)",2012,Fantasy,
"The King's Blood, Daniel Abraham (Orbit US; Orbit UK)",2012,Fantasy,
"Whispers Under Ground, Ben Aaronovitch (Del Rey; Gollancz)",2012,Fantasy,
"Worldsoul, Liz Williams (Prime)",2012,Fantasy,
"The Mirage, Matt Ruff (HarperCollins)",2012,Fantasy,
"Sharps, K. J. Parker (Orbit US; Orbit UK)",2012,Fantasy,
"And Blue Skies from Pain, Stina Leicht (Night Shade)",2012,Fantasy,
"Bullettime, Nick Mamatas (ChiZine)",2012,Fantasy,
"The Steel Seraglio, Mike Carey, Linda Carey & Louise Carey (ChiZine; Gollancz '13 as The City of Silk and Steel)",2012,Fantasy,
"The Troupe, Robert Jackson Bennett (Orbit US; Orbit UK)",2012,Fantasy,
"Boneland, Alan Garner (Fourth Estate)",2012,Fantasy,
"Range of Ghosts, Elizabeth Bear (Tor)",2012,Fantasy,
"Crandolin, Anna Tambour (Chomu)",2012,Fantasy,
"Throne of the Crescent Moon, Saladin Ahmed (DAW; Gollancz 2013)",2012,First Novel,TRUE
"Alif the Unseen, G. Willow Wilson (Grove; Corvus)",2012,First Novel,
"vN, Madeline Ashby (Angry Robot US; Angry Robot UK)",2012,First Novel,
"Seraphina, Rachel Hartman (Random House; Doubleday UK)",2012,First Novel,
"The Games, Ted Kosmatka (Del Rey; Titan)",2012,First Novel,
"Blackwood, Gwenda Bond (Strange Chemistry)",2012,First Novel,
"Rituals, Roz Kaveney (Plus One)",2012,First Novel,
"Goblin Secrets, William Alexander (McElderry)",2012,First Novel,
"Wide Open, Deborah Coates (Tor)",2012,First Novel,
"The Snow Child, Eowyn Ivey (Reagan Arthur; Headline Review)",2012,First Novel,
"The Gathering Dark, Leigh Bardugo (Indigo; Hold as Shadow and Bone)",2012,First Novel,
"Bad Glass, Richard E. Gropp (Del Rey)",2012,First Novel,
"The Man from Primrose Lane, James Renner (Crichton; Corsair '13)",2012,First Novel,
"Sanctum, Sarah Fine (Amazon Children's Publishing)",2012,First Novel,
"Embassytown, China Miéville (Del Rey; Macmillan)",2011,Science Fiction,TRUE
"11/22/63, Stephen King (Scribner; Hodder & Stoughton)",2011,Science Fiction,
"Rule 34, Charles Stross (Ace; Orbit UK)",2011,Science Fiction,
"The Children of the Sky, Vernor Vinge (Tor)",2011,Science Fiction,
"Leviathan Wakes, James S. A. Corey (Orbit US; Orbit UK)",2011,Science Fiction,
"Dancing with Bears, Michael Swanwick (Night Shade)",2011,Science Fiction,
"Grail, Elizabeth Bear (Spectra)",2011,Science Fiction,
"Deadline, Mira Grant (Orbit US; Orbit UK)",2011,Science Fiction,
"Home Fires, Gene Wolfe (Tor; PS Publishing)",2011,Science Fiction,
"Vortex, Robert Charles Wilson (Tor)",2011,Science Fiction,
"Earthbound, Joe Haldeman (Ace)",2011,Science Fiction,
"Firebird, Jack McDevitt (Ace)",2011,Science Fiction,
"The Clockwork Rocket, Greg Egan (Night Shade)",2011,Science Fiction,
"The Islanders, Christopher Priest (Gollancz)",2011,Science Fiction,
"Heart of Iron, Ekaterina Sedia (Prime)",2011,Science Fiction,
"Daybreak Zero, John Barnes (Ace)",2011,Science Fiction,
"This Shared Dream, Kathleen Ann Goonan (Tor)",2011,Science Fiction,
"7th Sigma, Steven Gould (Tor)",2011,Science Fiction,
"All the Lives He Led, Frederik Pohl (Tor)",2011,Science Fiction,
"Wake Up and Dream, Ian R. MacLeod (PS Publishing)",2011,Science Fiction,
"The Courier's New Bicycle, Kim Westwood (Voyager Australia)",2011,Science Fiction,
"Zone One, Colson Whitehead (Doubleday; Harvill Secker)",2011,Science Fiction,
"A Dance with Dragons, George R. R. Martin (Bantam; Harper Voyager UK)",2011,Fantasy,TRUE
"Among Others, Jo Walton (Tor)",2011,Fantasy,
"Snuff, Terry Pratchett (Harper; Doubleday UK)",2011,Fantasy,
"The Wise Man's Fear, Patrick Rothfuss (DAW; Gollancz)",2011,Fantasy,
"Deathless, Catherynne M. Valente (Tor)",2011,Fantasy,
"The Kingdom of Gods, N. K. Jemisin (Orbit US; Orbit UK)",2011,Fantasy,
"The Magician King, Lev Grossman (Viking)",2011,Fantasy,
"The Heroes, Joe Abercrombie (Gollancz; Orbit Us)",2011,Fantasy,
"The Folded World, Catherynne M. Valente (Night Shade)",2011,Fantasy,
"The Cold Commands, Richard K. Morgan (Del Rey; Gollancz)",2011,Fantasy,
"Raising Stony Mayhall, Daryl Gregory (Del Rey)",2011,Fantasy,
"The Uncertain Places, Lisa Goldstein (Tachyon)",2011,Fantasy,
"Redwood and Wildfire, Andrea Hairston (Aqueduct)",2011,Fantasy,
"Heartless, Gail Carriger (Orbit US; Orbit UK)",2011,Fantasy,
"Professor Moriarty: The Hound of the D'Urbervilles, Kim Newman (Titan)",2011,Fantasy,
"The Dragon's Path, Daniel Abraham (Orbit US; Orbit UK)",2011,Fantasy,
"The Alchemists of Kush, Minister Faust (Narmer's Palette)",2011,Fantasy,
"Briarpatch, Tim Pratt (ChiZine)",2011,Fantasy,
"Mr. Fox, Helen Oyeyemi (Picador UK; Riverhead)",2011,Fantasy,
"The Fallen Blade, Jon Courtenay Grimwood (Orbit US; Orbit UK)",2011,Fantasy,
"The Hammer, K. J. Parker (Orbit US; Orbit UK)",2011,Fantasy,
"Mistification, Kaaron Warren (Angry Robot UK; Angry Robot US)",2011,Fantasy,
"The Night Circus, Erin Morgenstern (Doubleday)",2011,First Novel,TRUE
"Mechanique: A Tale of the Circus Tresaulti, Genevieve Valentine (Prime)",2011,First Novel,
"Soft Apocalypse, Will McIntosh (Night Shade)",2011,First Novel,
"God's War, Kameron Hurley (Night Shade)",2011,First Novel,
"Ready Player One, Ernest Cline (Crown; Century)",2011,First Novel,
"Of Blood and Honey, Stina Leicht (Night Shade)",2011,First Novel,
"The Tiger's Wife, Téa Obreht (Random House; Weidenfeld & Nicholson)",2011,First Novel,
"The Girl of Fire and Thorns, Rae Carson (Greenwillow; Gollancz as Fire and Thorns)",2011,First Novel,
"Seed, Rob Ziegler (Night Shade)",2011,First Novel,
"The Desert of Souls, Howard Andrew Jones (St. Martin's)",2011,First Novel,
"Debris, Jo Anderton (Angry Robot)",2011,First Novel,
"Low Town, Daniel Polansky (Doubleday; Hodder & Stoughton)",2011,First Novel,
"Blood Red Road, Moira Young (McElderry; Marion Lloyd)",2011,First Novel,
"Blackout/All Clear, Connie Willis (Spectra)",2010,Science Fiction,TRUE
"Cryoburn, Lois McMaster Bujold (Baen)",2010,Science Fiction,
"The Dervish House, Ian McDonald (Pyr; Gollancz)",2010,Science Fiction,
"Surface Detail, Iain M. Banks (Orbit)",2010,Science Fiction,
"Zero History, William Gibson (Putnam; Viking UK)",2010,Science Fiction,
"The Passage, Justin Cronin (Ballantine)",2010,Science Fiction,
"Feed, Mira Grant (Orbit)",2010,Science Fiction,
"Hull Zero Three, Greg Bear (Orbit)",2010,Science Fiction,
"Terminal World, Alastair Reynolds (Gollancz; Ace)",2010,Science Fiction,
"Chill, Elizabeth Bear (Spectra)",2010,Science Fiction,
"Starbound, Joe Haldeman (Ace)",2010,Science Fiction,
"Yarn, Jon Armstrong (Night Shade)",2010,Science Fiction,
"Zendegi, Greg Egan (Night Shade)",2010,Science Fiction,
"Directive 51, John Barnes (Ace)",2010,Science Fiction,
"Sleepless, Charlie Huston (Ballantine)",2010,Science Fiction,
"Brain Thief, Alexander Jablokov (Tor)",2010,Science Fiction,
"Birdbrain, Johanna Sinisalo (Peter Owen)",2010,Science Fiction,
"Saltation, Sharon Lee & Steve Miller (Baen)",2010,Science Fiction,
"Kraken, China Miéville (Macmillan UK; Del Rey)",2010,Fantasy,TRUE
"Under Heaven, Guy Gavriel Kay (Penguin Canada; Roc)",2010,Fantasy,
"The Fuller Memorandum, Charles Stross (Ace; Orbit UK)",2010,Fantasy,
"The Sorcerer's House, Gene Wolfe (Tor)",2010,Fantasy,
"Who Fears Death, Nnedi Okorafor (DAW)",2010,Fantasy,
"The Bards of Bone Plain, Patricia A. McKillip (Ace)",2010,Fantasy,
"The Habitation of the Blessed, Catherynne M. Valente (Night Shade)",2010,Fantasy,
"Horns, Joe Hill (Morrow; Gollancz)",2010,Fantasy,
"The Bird of the River, Kage Baker (Tor)",2010,Fantasy,
"A Dark Matter, Peter Straub (Doubleday; Orion)",2010,Fantasy,
"Zoo City, Lauren Beukes (Jacana South Africa; Angry Robot)",2010,Fantasy,
"Changeless, Gail Carriger (Orbit)",2010,Fantasy,
"Shades of Grey, Jasper Fforde (Viking; Hodder & Stoughton)",2010,Fantasy,
"The Half-Made World, Felix Gilman (Tor)",2010,Fantasy,
"The Thousand Autumns of Jacob de Zoet, David Mitchell (Sceptre; Random House)",2010,Fantasy,
"The Desert Spear, Peter V. Brett (Del Rey; Voyager)",2010,Fantasy,
"Hespira, Matthew Hughes (Night Shade)",2010,Fantasy,
"The House of Discarded Dreams, Ekaterina Sedia (Prime)",2010,Fantasy,
"The Wolf Age, James Enge (Pyr)",2010,Fantasy,
"The Folding Knife, K. J. Parker (Orbit)",2010,Fantasy,
"Jade Man's Skin, Daniel Fox (Del Rey)",2010,Fantasy,
"Kings of the North, Cecelia Holland (Tor)",2010,Fantasy,
"The Way of Kings, Brandon Sanderson (Tor)",2010,Fantasy,
"A Matter of Blood, Sarah Pinborough (Gollancz)",2010,Fantasy,
"The Hundred Thousand Kingdoms, N. K. Jemisin (Orbit)",2010,First Novel,TRUE
"How to Live Safely in a Science Fictional Universe, Charles Yu (Pantheon)",2010,First Novel,
"The Quantum Thief, Hannu Rajaniemi (Gollancz; Tor 2011)",2010,First Novel,
"Shades of Milk and Honey, Mary Robinette Kowal (Tor)",2010,First Novel,
"The Loving Dead, Amelia Beamer (Night Shade)",2010,First Novel,
"The Bookman, Lavie Tidhar (Angry Robot)",2010,First Novel,
"The Native Star, M. K. Hobson (Spectra)",2010,First Novel,
"A Book of Tongues, Gemma Files (ChiZine)",2010,First Novel,
"Redemption in Indigo, Karen Lord (Small Beer)",2010,First Novel,
"Clowns at Midnight, Terry Dowling (PS)",2010,First Novel,
"The Dream of Perpetual Motion, Dexter Palmer (St. Martin's)",2010,First Novel,
"The Replacement, Brenna Yovanoff (Razorbill)",2010,First Novel,
"Meeks, Julia Holmes (Small Beer)",2010,First Novel,
"The Last Page, Anthony Huso (Tor)",2010,First Novel,
"Noise, Darin Bradley (Spectra)",2010,First Novel,
"Boneshaker, Cherie Priest (Tor)",2009,Science Fiction,TRUE
"The Empress of Mars, Kage Baker (Subterranean; Tor)",2009,Science Fiction,
"Galileo's Dream, Kim Stanley Robinson (HarperVoyager; Ballantine Spectra)",2009,Science Fiction,
"Julian Comstock: A Story of 22nd-Century America, Robert Charles Wilson (Tor)",2009,Science Fiction,
"Steal Across the Sky, Nancy Kress (Tor)",2009,Science Fiction,
"Transition, Iain M. Banks (Orbit; Little, Brown UK)",2009,Science Fiction,
"Under the Dome, Stephen King (Scribner; Hodder & Stoughton)",2009,Science Fiction,
"Gardens of the Sun, Paul McAuley (Gollancz; Pyr 2010)",2009,Science Fiction,
"This Is Not a Game, Walter Jon Williams (Orbit US; Orbit UK)",2009,Science Fiction,
"Ark, Stephen Baxter (Gollancz)",2009,Science Fiction,
"The Devil's Alphabet, Daryl Gregory (Del Rey)",2009,Science Fiction,
"Chronic City, Jonathan Lethem (Doubleday)",2009,Science Fiction,
"The Sunless Countries, Karl Schroeder (Tor)",2009,Science Fiction,
"The Walls of the Universe, Paul Melko (Tor)",2009,Science Fiction,
"The Windup Girl, Paolo Bacigalupi (Night Shade)",2009,Science Fiction,
"Yellow Blue Tibia, Adam Roberts (Gollancz)",2009,Science Fiction,
"Buyout, Alexander C. Irvine (Del Rey)",2009,Science Fiction,
"The City & the City, China Miéville (Del Rey; Macmillan UK)",2009,Fantasy,TRUE
"Unseen Academicals, Terry Pratchett (Harper; Doubleday UK)",2009,Fantasy,
"Drood, Dan Simmons (Little, Brown)",2009,Fantasy,
"Palimpsest, Catherynne M. Valente (Bantam Spectra)",2009,Fantasy,
"Finch, Jeff VanderMeer (Underland)",2009,Fantasy,
"Green, Jay Lake (Tor)",2009,Fantasy,
"The Revolution Business, Charles Stross (Tor)",2009,Fantasy,
"Canticle, Ken Scholes (Tor)",2009,Fantasy,
"Avilion, Robert Holdstock (Gollancz)",2009,Fantasy,
"Lifelode, Jo Walton (NESFA)",2009,Fantasy,
"The Price of Spring, Daniel Abraham (Tor)",2009,Fantasy,
"The Red Tree, Caitlín R. Kiernan (Roc)",2009,Fantasy,
"Cloud & Ashes: Three Winter's Tales, Greer Gilman (Small Beer)",2009,Fantasy,
"Madness of Flowers, Jay Lake (Night Shade)",2009,Fantasy,
"The High City, Cecelia Holland (Forge)",2009,Fantasy,
"Audrey's Door, Sarah Langan (Harper)",2009,Fantasy,
"Spell Games, T. A. Pratt (Bantam Spectra)",2009,Fantasy,
"Dragon in Chains, Daniel Fox (Del Rey)",2009,Fantasy,
